1	1 1 4 6	4.45	99.3%	4.72	1.5
2	1 1 3 8	4.52	99.1%	4.77	1.49
3	1 1 11 11	4.52	99.6%	4.77	1.48
4	1 1 1 8	4.54	98.9%	4.72	1.27
5	6 6 6 6	4.62	99.5%	4.89	1.51
6	1 1 2 12	4.63	99.1%	4.96	1.57
7	1 2 2 6	4.8	99.2%	5.17	1.62
8	1 1 10 12	4.89	99.1%	5.17	1.57
9	1 1 1 12	4.91	99.2%	5.25	1.65
10	2 2 10 10	4.91	98.4%	5.21	1.65
11	1 1 4 8	5.03	98.2%	5.39	1.82
12	1 1 12 12	5.04	99.3%	5.4	1.62
13	4 6 11 11	5.04	98.9%	5.41	1.72
14	1 1 2 8	5.05	97.7%	5.4	1.8
15	1 1 4 12	5.06	97.4%	5.46	1.82
16	3 3 3 8	5.09	98%	5.45	1.81
17	1 1 5 8	5.1	96.4%	5.47	1.84
18	2 2 2 12	5.11	99.1%	5.47	1.72
19	1 1 3 12	5.12	97.4%	5.47	1.87
20	1 2 3 4	5.12	99.1%	5.47	1.83
21	11 11 12 12	5.12	98.7%	5.52	1.88
22	1 1 2 11	5.14	98.8%	5.47	1.74
23	1 1 2 6	5.17	98.2%	5.45	1.63
24	7 7 12 12	5.18	98.7%	5.57	1.84
25	1 1 13 13	5.19	99.2%	5.47	1.64
26	1 2 4 12	5.19	97.5%	5.61	1.97
27	3 7 7 8	5.21	96.6%	5.57	1.92
28	1 1 5 6	5.23	96.9%	5.67	2.03
29	4 6 7 7	5.24	98.7%	5.61	1.84
30	1 1 2 13	5.25	98.7%	5.53	1.8
31	1 1 11 13	5.25	99.1%	5.68	1.82
32	1 1 3 6	5.26	97.6%	5.59	1.78
33	4 6 13 13	5.26	98.8%	5.68	1.8
34	1 1 3 9	5.28	97%	5.61	1.87
35	4 4 4 6	5.28	98.2%	5.69	1.99
36	2 7 7 12	5.29	98.7%	5.65	1.85
37	12 12 12 12	5.29	99.3%	5.77	2.12
38	4 5 12 12	5.3	97%	5.68	1.84
39	10 10 12 12	5.3	98.6%	5.74	1.92
40	1 6 6 12	5.31	98.8%	5.64	1.74
41	2 11 11 12	5.31	97.1%	5.71	1.99
42	1 1 11 12	5.32	99.3%	5.75	1.84
43	1 1 1 11	5.36	97.3%	5.65	1.7
44	1 8 8 8	5.37	97.7%	5.68	1.9
45	2 9 9 12	5.37	97.3%	5.81	2.01
46	3 8 13 13	5.37	94.9%	5.74	2.07
47	1 1 4 5	5.38	97.9%	5.78	2.02
48	1 5 7 12	5.38	98.3%	5.94	2.09
49	2 2 3 8	5.4	98.1%	5.8	1.94
50	3 3 12 12	5.4	98.8%	5.91	2.07
51	5 6 12 12	5.4	97.2%	5.85	1.85
52	8 8 12 12	5.41	98.5%	5.81	1.93
53	9 9 12 12	5.42	98.5%	5.96	2.17
54	11 11 11 12	5.42	94.8%	5.7	2
55	5 5 12 12	5.43	98.7%	5.8	1.73
56	1 1 5 5	5.44	99%	5.77	1.81
57	3 8 11 11	5.44	96%	5.76	2.07
58	1 1 12 13	5.45	98.8%	5.87	1.87
59	1 6 8 12	5.46	97.1%	5.86	2.03
60	1 9 9 12	5.47	95.3%	5.75	1.78
61	2 5 5 12	5.47	98.9%	5.9	1.99
62	12 12 13 13	5.47	98.6%	5.83	1.88
63	11 12 12 12	5.49	97.7%	5.79	1.86
64	1 3 5 12	5.51	96.2%	5.9	2.14
65	3 8 10 10	5.51	95.4%	5.92	2.24
66	5 5 11 12	5.51	96.7%	5.89	1.85
67	11 11 11 13	5.51	98.5%	6.06	2.21
68	3 4 4 8	5.52	98.3%	5.94	1.93
69	1 4 10 10	5.53	97.7%	5.96	2.1
70	1 2 5 8	5.55	95.6%	6.02	2.34
71	1 3 4 12	5.55	98.6%	5.97	1.96
72	3 8 9 9	5.56	97%	5.91	2.01
73	2 3 3 12	5.57	98.6%	6	2.06
74	7 7 11 12	5.57	94%	5.89	2.11
75	1 1 3 7	5.58	96.9%	5.92	2
76	2 12 13 13	5.58	97.1%	5.95	2.05
77	4 4 12 12	5.58	98.4%	6	2.05
78	1 8 8 12	5.6	96.4%	5.91	1.86
79	1 1 1 13	5.61	97.4%	5.94	1.77
80	1 4 7 12	5.61	98.2%	6.03	2.02
81	1 6 7 12	5.61	98.8%	6.04	1.99
82	1 3 10 10	5.62	97.3%	5.91	2.01
83	1 8 9 12	5.62	96.5%	5.94	2
84	8 8 11 13	5.64	97%	6.19	2.32
85	2 3 3 8	5.66	96.9%	6.01	1.93
86	2 3 12 12	5.66	97.5%	6.07	2.01
87	3 5 5 8	5.66	96.9%	6.06	2.11
88	7 8 12 12	5.66	96.1%	6.14	2.15
89	1 3 3 4	5.67	97.4%	5.92	1.81
90	3 7 8 8	5.67	95.8%	6.03	1.99
91	1 2 5 12	5.68	95.5%	6.11	2.17
92	2 2 4 6	5.68	98.9%	6.05	1.95
93	1 1 4 7	5.69	97%	5.99	2.08
94	1 1 10 13	5.69	97.8%	6.16	2.25
95	1 6 6 11	5.69	98.3%	6.2	2.26
96	1 7 7 10	5.69	97.8%	6.18	2.2
97	2 7 7 8	5.69	96.8%	6.02	2.02
98	5 5 7 7	5.69	98%	6.03	1.9
99	6 7 12 12	5.69	95.8%	6.02	2.07
100	1 7 9 12	5.71	95.9%	6.15	2.24
101	4 6 6 6	5.71	98.2%	6.09	2.08
102	9 9 11 12	5.71	94.1%	6.04	2.18
103	3 7 7 7	5.72	97.6%	6.07	2.02
104	1 2 2 10	5.73	96.6%	6.13	2.17
105	2 2 12 12	5.73	98.8%	6.23	2.23
106	4 5 11 12	5.74	97.4%	6.13	2.11
107	4 5 5 6	5.75	97.6%	6.21	2.15
108	4 8 11 11	5.75	95.6%	6.07	2.01
109	3 6 11 11	5.76	94.2%	6.01	2
110	4 4 11 13	5.76	97.8%	6.36	2.41
111	2 2 2 3	5.78	99%	6.06	1.72
112	3 3 4 6	5.78	97.8%	6.23	2.17
113	3 3 11 12	5.78	95%	6.17	2.21
114	1 2 2 12	5.79	97.8%	6.16	1.98
115	1 1 2 10	5.8	96%	6.06	1.83
116	8 9 12 12	5.8	96.3%	6.3	2.25
117	1 6 9 12	5.81	95.3%	6.16	2.17
